created,company,email,niche,city,country,website,source,status,notes
2026-04-29 20:00:01,Al Noor Dental Clinic,info@alnoordental.ae,dentist,Dubai,UAE,https://alnoordental.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:02,Pearl Smile Center,contact@pearlsmile.ae,dentist,Dubai,UAE,https://pearlsmile.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:03,Marina Dental Care,hello@marinadental.ae,dentist,Dubai,UAE,https://marinadental.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:04,Elite Med Spa Dubai,info@elitemedspa.ae,med spa,Dubai,UAE,https://elitemedspa.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:05,Luxe Skin Clinic,book@luxeskin.ae,med spa,Dubai,UAE,https://luxeskin.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:06,Swiss Wealth Advisors,zurich@swisswealth.ch,finance,Zurich,Switzerland,https://swisswealth.ch,Business Registry,NEW,Priority lead
2026-04-29 20:00:07,Helvetia Capital Group,info@helvetiacapital.ch,finance,Zurich,Switzerland,https://helvetiacapital.ch,Business Registry,NEW,Priority lead
2026-04-29 20:00:08,Alpine Tech Solutions,hello@alpinetech.ch,IT,Basel,Switzerland,https://alpinetech.ch,Business Registry,NEW,Warm lead
2026-04-29 20:00:09,Metro Growth Agency,sales@metrogrowth.com,marketing agency,New York,USA,https://metrogrowth.com,Public Directory,NEW,Hot lead
2026-04-29 20:00:10,Skyline Ads Media,contact@skylineads.com,marketing agency,New York,USA,https://skylineads.com,Public Directory,NEW,Hot lead
2026-04-29 20:00:11,Prime Legal Partners,info@primelegal.com,law firm,New York,USA,https://primelegal.com,Public Directory,NEW,Warm lead
2026-04-29 20:00:12,Harbor Dental NYC,hello@harbordental.com,dentist,New York,USA,https://harbordental.com,Public Directory,NEW,Hot lead
2026-04-29 20:00:13,London Smile Studio,info@londonsmile.co.uk,dentist,London,UK,https://londonsmile.co.uk,Public Directory,NEW,Hot lead
2026-04-29 20:00:14,Thames Legal House,contact@thameslegal.co.uk,law firm,London,UK,https://thameslegal.co.uk,Public Directory,NEW,Warm lead
2026-04-29 20:00:15,Sydney Property Group,sales@sydneyproperty.au,real estate,Sydney,Australia,https://sydneyproperty.au,Public Directory,NEW,Hot lead
2026-04-29 20:00:16,Blue Harbour Media,hello@blueharbour.au,marketing agency,Sydney,Australia,https://blueharbour.au,Public Directory,NEW,Warm lead
2026-04-29 20:00:17,Dubai Pearl Realty,info@dubairealty.ae,real estate,Dubai,UAE,https://dubairealty.ae,Public Directory,NEW,Hot lead
2026-04-29 20:00:18,Golden Sands Trading,sales@goldensands.ae,trading,Dubai,UAE,https://goldensands.ae,Public Directory,NEW,Warm lead
2026-04-29 20:00:19,Manhattan SaaS Labs,team@manhattansaas.com,SaaS,New York,USA,https://manhattansaas.com,Public Directory,NEW,Priority lead
2026-04-29 20:00:20,Zurich Pharma Connect,info@zurichpharma.ch,pharma,Zurich,Switzerland,https://zurichpharma.ch,Business Registry,NEW,Priority lead
created,company,email,niche,city,country,website,source,status,notes
2026-04-29 20:10:01,Smile Point Dental,info@smilepoint.ae,dentist,Dubai,UAE,https://smilepoint.ae,Public Directory,NEW,Hot lead
2026-04-29 20:10:02,City Crown Dental,contact@citycrown.ae,dentist,Dubai,UAE,https://citycrown.ae,Public Directory,NEW,Hot lead
2026-04-29 20:10:03,Oasis Dental Hub,hello@oasisdental.ae,dentist,Dubai,UAE,https://oasisdental.ae,Public Directory,NEW,Hot lead
2026-04-29 20:10:04,Desert Pearl Clinic,info@desertpearl.ae,med spa,Dubai,UAE,https://desertpearl.ae,Public Directory,NEW,Hot lead
2026-04-29 20:10:05,Royal Skin House,book@royalskin.ae,med spa,Dubai,UAE,https://royalskin.ae,Public Directory,NEW,Hot lead
2026-04-29 20:10:06,Harbor Finance AG,info@harborfinance.ch,finance,Zurich,Switzerland,https://harborfinance.ch,Business Registry,NEW,Priority lead
2026-04-29 20:10:07,Swiss Growth Partners,contact@swissgrowth.ch,finance,Zurich,Switzerland,https://swissgrowth.ch,Business Registry,NEW,Priority lead
2026-04-29 20:10:08,Alpine Cloud Labs,hello@alpinecloud.ch,IT,Geneva,Switzerland,https://alpinecloud.ch,Business Registry,NEW,Warm lead
2026-04-29 20:10:09,Empire Reach Media,sales@empirereach.com,marketing agency,New York,USA,https://empirereach.com,Public Directory,NEW,Hot lead
2026-04-29 20:10:10,Urban Scale Ads,contact@urbanscale.com,marketing agency,New York,USA,https://urbanscale.com,Public Directory,NEW,Hot lead
2026-04-29 20:10:11,Lex Harbor Group,info@lexharbor.com,law firm,New York,USA,https://lexharbor.com,Public Directory,NEW,Warm lead
2026-04-29 20:10:12,Broadway Dental Care,hello@broadwaydental.com,dentist,New York,USA,https://broadwaydental.com,Public Directory,NEW,Hot lead
2026-04-29 20:10:13,London Prime Smile,info@prime-smile.co.uk,dentist,London,UK,https://prime-smile.co.uk,Public Directory,NEW,Hot lead
